"Ad group","Keyword type","Search Keyword","Campaign","Clicks","Impressions","Cost ($)","Leads","Prospects"
"Yoga_Studio_Booking_Software_Broad","Broad","yoga studio booking software","EK_Generic_Quad-Tok_Yoga",6,263,46.52,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation",3,41,32.76,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming_UK",3,4,11.37,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming",2,23,7.09,0,0
"Yoga_Studio_Software_Broad","Broad","yoga studio software","EK_Generic_Tri-Tok_Yoga",1,11,4.62,0,0
"Reservation_Management_System_Phrase","Phrase","reservation management system","EK_Generic_Tri-Tok_Reservation",1,10,10.66,0,0
"Swimming_Pool_Booking_System_Exact","Exact","swimming pool booking system","EK_Generic_Swimming",1,2,4.5,0,0
"Pool_Reservation_System_Exact","Exact","pool reservation system","EK_Generic_Swimming",1,5,3.65,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming_Canada",1,4,4.97,0,0
"Reservation_Management_System_Exact","Exact","reservation management system","EK_Generic_Tri-Tok_Reservation",1,15,5.34,0,0
"Pool_Scheduling_Software_Phrase","Phrase","pool scheduling software","EK_Generic_Swimming",1,3,4.46,0,0
"Yoga_Studio_Booking_Software_Broad","Broad","yoga studio booking software","EK_Generic_Quad-Tok_Yoga",11,260,89.95,0,0
"Swimming_Pool_Booking_System_Exact","Exact","swimming pool booking system","EK_Generic_Swimming_Singapore",7,34,6.27,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming",4,20,10.14,0,0
"Pool_Reservation_Software_Open_Broad","Broad",NA,"EK_Generic_Swimming",1,1,6.82,0,0
"Yoga_Studio_App_Exact","Exact","yoga studio app","EK_Generic_Tri-Tok_Yoga",1,11,3.82,0,0
"Yoga_Studio_App_Phrase","Phrase","yoga studio app","EK_Generic_Tri-Tok_Yoga",1,8,2.67,0,0
"Pilates_Studio_Booking_Software_Broad","Broad","pilates studio booking software","EK_Generic_Quad-Tok_Pilates",2,31,19.81,0,0
"Yoga_Studio_App_Phrase","Phrase","yoga studio app","EK_Generic_Tri-Tok_Yoga",2,10,4.54,0,0
"Swimming_Pool_Booking_System_Exact","Exact","swimming pool booking system","EK_Generic_Swimming_Singapore",1,15,0.71,0,0
"Swimming_Pool_Booking_System_Exact","Exact","swimming pool booking system","EK_Generic_Swimming_UK",1,1,0.74,0,0
"Yoga_Studio_App_Exact","Exact","yoga studio app","EK_Generic_Tri-Tok_Yoga",1,6,3.42,0,0
"Pool_Reservation_Software_Exact","Exact","pool reservation software","EK_Generic_Swimming",1,1,6.4,0,0
"Swimming_Pool_Booking_System_Exact","Exact","swimming pool booking system","EK_Generic_Swimming_Singapore",5,12,3.98,0,0
"Pilates_Studio_Booking_Software_Broad","Broad","pilates studio booking software","EK_Generic_Quad-Tok_Pilates",2,47,15.85,0,0
"Swimming_Pool_Reservation_System_Exact","Exact","swimming pool reservation system","EK_Generic_Swimming",1,1,1.93,0,0
"Reservation_Management_System_Phrase","Phrase","reservation management system","EK_Generic_Tri-Tok_Reservation",1,8,9.67,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation",1,10,10.08,0,0
"Pool_Scheduling_Software_Phrase","Phrase","pool scheduling software","EK_Generic_Swimming",1,2,4.25,0,0
"Yoga_Studio_App_Phrase","Phrase","yoga studio app","EK_Generic_Tri-Tok_Yoga",1,10,3.42,0,0
"Yoga_Studio_App_Exact","Exact","yoga studio app","EK_Generic_Tri-Tok_Yoga",1,9,3.32,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming",1,11,2.11,0,0
"Yoga_Studio_Booking_Software_Broad","Broad","yoga studio booking software","EK_Generic_Quad-Tok_Yoga",4,264,32.79,0,0
"Swimming_Pool_Booking_System_Exact","Exact","swimming pool booking system","EK_Generic_Swimming_Singapore",2,12,1.83,0,0
"Reservation_Management_System_Phrase","Phrase","booking management software","EK_Generic_Tri-Tok_Reservation",2,40,21.84,0,0
"Pilates_Studio_Booking_Software_Broad","Broad","pilates studio booking software","EK_Generic_Quad-Tok_Pilates",2,40,18.33,0,0
"Swimming_Pool_Booking_System_Exact","Exact","swimming pool booking system","EK_Generic_Swimming_UK",1,1,1.25,0,0
"Pool_Scheduling_Software_Phrase","Phrase","pool scheduling software","EK_Generic_Swimming",1,12,16.8,0,0
"Yoga_Studio_App_Exact","Exact","yoga studio app","EK_Generic_Tri-Tok_Yoga",4,22,11.73,0,0
"Pilates_Studio_Software_Exact","Exact","pilates studio software","EK_Generic_Tri-Tok_Pilates",4,9,39.16,0,0
"Yoga_Studio_Software_Exact","Exact","yoga studio software","EK_Generic_Tri-Tok_Yoga",2,90,23.06,0,0
"Swimming_Pool_Booking_System_Exact","Exact","swimming pool booking system","EK_Generic_Swimming_Singapore",1,7,6.74,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming_Canada",1,8,1.92,0,0
"Pool_Reservation_Software_Broad","Broad","pool reservation software","EK_Generic_Swimming_Singapore",1,3,4.41,0,0
"Pool_Booking_App_Exact","Exact","pool booking app","EK_Generic_Swimming",1,9,0.93,0,0
"Pool_Scheduling_Software_Phrase","Phrase","pool scheduling software","EK_Generic_Swimming",1,19,7.58,0,0
"Swimming_Pool_Booking_System_Exact","Exact","swimming pool booking system","EK_Generic_Swimming",1,2,6.15,0,0
"Yoga_Studio_Booking_Software_Broad","Broad","yoga studio booking software","EK_Generic_Quad-Tok_Yoga",1,20,4.57,0,0
"Pool_Reservation_Software_Open_Broad","Broad",NA,"EK_Generic_Swimming",1,13,3.77,0,0
